District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Moga,Ajitwal,Other,Cereals,2.2,2125.0,2125,2125,24-May-23
Moga,Ajitwal,Other,Cereals,2.2,2125.0,2125,2125,23-May-23
Moga,Ajitwal,Other,Cereals,1.65,2125.0,2125,2125,19-May-23
Moga,Ajitwal,Other,Cereals,19.85,2125.0,2125,2125,18-May-23
Moga,Ajitwal,Other,Cereals,25.7,2125.0,2125,2125,17-May-23
Moga,Ajitwal,Other,Cereals,244,2125.0,2125,2125,16-May-23
Moga,Ajitwal,Other,Cereals,150,2125.0,2125,2125,15-May-23
Moga,Ajitwal,Other,Cereals,18.5,2125.0,2125,2125,14-May-23
Moga,Ajitwal,Other,Cereals,110.6,2125.0,2125,2125,12-May-23
Moga,Ajitwal,Other,Cereals,39.65,2125.0,2125,2125,11-May-23
Moga,Ajitwal,Other,Cereals,25,2125.0,2125,2125,10-May-23
Moga,Ajitwal,Other,Cereals,85,2125.0,2125,2125,09-May-23
Moga,Ajitwal,Other,Cereals,185,2125.0,2125,2125,08-May-23
Moga,Ajitwal,Other,Cereals,181.9,2125.0,2125,2125,07-May-23
Moga,Ajitwal,Other,Cereals,90,2125.0,2125,2125,06-May-23
Moga,Ajitwal,Other,Cereals,105,2125.0,2125,2125,05-May-23
Moga,Ajitwal,Other,Cereals,240,2125.0,2125,2125,04-May-23
Moga,Ajitwal,Other,Cereals,165,2125.0,2125,2125,03-May-23
Moga,Ajitwal,Other,Cereals,669.65,2125.0,2125,2125,02-May-23
Moga,Ajitwal,Other,Cereals,605,2125.0,2125,2125,01-May-23
Moga,Ajitwal,Other,Cereals,319.8,2125.0,2125,2125,30-Apr-23
Moga,Ajitwal,Other,Cereals,"1,335.00",2125.0,2125,2125,29-Apr-23
Moga,Ajitwal,Other,Cereals,"1,440.00",2125.0,2125,2125,28-Apr-23
Moga,Ajitwal,Other,Cereals,"1,505.00",2125.0,2125,2125,27-Apr-23
